Comment,Designator,Footprint,LCSC
1K,"R1,R2,R4,R5,R6,R7",R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,C112223
5K,"R8,R9",R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,C136458
220,R3,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,C137176
BC817,"Q1,Q2",SOT-23,C2137
USB_C_Plug,P1,USB_C_Receptacle_XKB_U262-16XN-4BVC11,C319148
1uF,"C1,C3",C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,C326607
100nF,C2,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,C82601
CH340G,U2,SOIC-16_3.9x9.9mm_P1.27mm,C84681
AZ1117H-3.3TRE1,U1,SOT-223,C92517
LED_RED,D1,LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder,C965822
TX,"D2,D3",LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder,C965826
