Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1uF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,140.7,-79.75,0.0,top
C2,100nF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,151.2,-69.2,0.0,top
C3,1uF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,135.636,-79.75,180.0,top
D1,LED_RED,LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder,142.8,-77.2,0.0,top
D2,TX,LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder,145.2,-88.8,0.0,top
D3,RX,LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder,143.6,-91.2,0.0,top
P1,USB_C_Plug,USB_C_Receptacle_XKB_U262-16XN-4BVC11,143.5,-64.5,180.0,top
Q1,BC817,SOT-23,146.6,-84.7,-90.0,top
Q2,BC817,SOT-23,152.2,-84.7,-90.0,top
R1,1K,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,149.4,-85.2,-90.0,top
R2,1K,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,143.8,-85.2,90.0,top
R3,220,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,142.8,-74.9,0.0,top
R4,1K,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,141.3,-85.2,-90.0,top
R5,1K,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,138.8,-85.2,-90.0,top
R6,1K,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,153.2,-90.4,-90.0,top
R7,1K,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,151.0,-90.4,90.0,top
R8,5K,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,142.8,-72.6,180.0,top
R9,5K,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,142.9,-70.3,180.0,top
U1,AZ1117H-3.3TRE1,SOT-223,136.5,-73.75,90.0,top
U2,CH340G,SOIC-16_3.9x9.9mm_P1.27mm,149.6,-75.692,180.0,top
